id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,unfavorable,b,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,unfavorable,NA,NA,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
3_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,hard_to_say,hard_to_say,some_high_school,NA,NA,unskilled_domestic_and_personal_service
4_b,b,NA,b,favorable,NA,liberalFriend,ambivalent,untilOwnHome,NA,favorable,poor,NA,NA,NA,NA,NA
5_b,b,favorable,b,NA,NA,NA,NA,NA,favorable,favorable,good,NA,NA,NA,NA,NA
6_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,good,NA,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
7_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,poor,NA,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
8_b,b,unfavorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,poor,grade_school_or_less,NA,biracial_living_experience,semiskilled
9_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,poor,grade_school_or_less,favorable,NA,semiskilled
10_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
11_b,b,favorable,b,NA,conflict,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
12_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,favorable,NA,fair,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
13_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,permanent,NA,favorable,poor,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,NA,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,poor,some_high_school,NA,NA,semiskilled
15_b,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,favorable,poor,poor,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
