id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,good,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,permanent,NA,favorable,NA,poor,NA,NA,NA,NA
3_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,favorable,fair,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
4_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,poor,NA,NA,NA,NA,NA
5_b,b,unfavorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,permanent,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
6_b,b,NA,b,unfavorable,NA,NA,NA,NA,NA,favorable,poor,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
7_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,hard_to_say,NA,NA,NA,NA,NA
8_b,b,NA,b,favorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,NA,NA,NA,NA,NA,biracial_living_experience,NA
9_b,b,favorable,b,noComments,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,good,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
10_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,permanent,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,semiskilled
11_b,b,favorable,b,favorable,conflict,ambivalentFriend,liberal,asLongAsEligible,NA,favorable,NA,hard_to_say,NA,NA,no_biracial_living_experience,NA
12_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,NA,hard_to_say,NA,NA,NA,NA
13_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,untilOwnHome,favorable,favorable,good,NA,NA,NA,NA,NA
16_b,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,favorable,NA,NA,poor,NA,NA,NA,NA
17_b,b,favorable,b,noComments,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,poor,good,NA,NA,biracial_living_experience,NA
18_b,b,favorable,b,NA,conflict,liberalFriend,liberal,NA,NA,NA,fair,NA,some_high_school,NA,biracial_living_experience,white_collar_or_skilled
19_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,NA,NA,NA,good,NA,some_high_school,NA,NA,semiskilled
20_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,untilBetterPlace,NA,NA,good,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
21_b,b,favorable,b,NA,integration,NA,NA,asLongAsEligible,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
22_b,b,NA,b,favorableAndUnfavorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,poor,some_high_school,NA,NA,white_collar_or_skilled
23_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,untilBetterPlace,NA,NA,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
24_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
25_b,b,unfavorable,b,unfavorable,integration,NA,NA,asLongAsEligible,NA,favorable,poor,good,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
26_b,b,NA,b,NA,mutual_acomodation,liberalFriend,ambivalent,asLongAsEligible,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
27_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,poor,NA,NA,NA,NA,NA
28_b,b,favorable,b,noComments,NA,liberalFriend,liberal,NA,NA,favorable,poor,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
29_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,NA,NA,fair,some_high_school,favorable,biracial_living_experience,semiskilled
30_b,b,NA,b,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,fair,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
31_b,b,favorable,b,favorable,conflict,NA,NA,asLongAsEligible,favorable,favorable,poor,NA,some_high_school,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
32_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
33_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,poor,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
34_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,unfavorable,poor,poor,NA,favorable,NA,NA
35_b,b,favorable,b,NA,integration,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,good,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,good,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
37_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,poor,poor,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
38_b,b,favorable,b,favorableAndUnfavorable,conflict,liberalFriend,liberal,untilOwnHome,NA,favorable,poor,poor,some_high_school,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
39_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,good,NA,NA,NA,NA,NA
40_b,b,favorable,b,NA,NA,NA,NA,untilBetterPlace,NA,favorable,poor,poor,NA,NA,NA,NA
41_b,b,favorable,b,NA,conflict,liberalFriend,liberal,untilBetterPlace,NA,NA,NA,hard_to_say,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
42_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
43_b,b,favorable,b,NA,mutual_acomodation,ambivalentFriend,liberal,neverThoughtAboutIt,NA,NA,NA,poor,NA,favorable,no_biracial_living_experience,NA
44_b,b,favorable,b,NA,conflict,ambivalentFriend,liberal,untilOwnHome,NA,NA,poor,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
45_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,good,NA,NA,NA,NA,NA
46_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
47_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
48_b,b,favorable,b,favorable,conflict,NA,NA,NA,NA,favorable,hard_to_say,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
49_b,b,NA,b,favorable,NA,NA,NA,NA,NA,favorable,NA,hard_to_say,some_high_school,NA,NA,unskilled_domestic_and_personal_service
50_b,b,unfavorable,b,favorable,mutual_acomodation,NA,NA,permanent,favorable,NA,NA,hard_to_say,NA,favorable,biracial_living_experience,NA
51_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,poor,good,NA,NA,biracial_living_experience,NA
52_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,ambivalent,neverThoughtAboutIt,NA,NA,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
53_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,NA,grade_school_or_less,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
54_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,permanent,favorable,NA,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
55_b,b,NA,b,favorableAndUnfavorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
56_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
57_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,fair,NA,NA,biracial_living_experience,NA
58_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,fair,NA,NA,NA,NA,NA
59_b,b,favorable,b,NA,conflict,liberalFriend,liberal,NA,NA,NA,hard_to_say,poor,NA,NA,no_biracial_living_experience,NA
60_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,permanent,NA,favorable,NA,poor,some_high_school,favorable,biracial_living_experience,semiskilled
61_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,fair,NA,NA,NA,biracial_living_experience,NA
62_b,b,favorable,b,NA,conflict,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,hard_to_say,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
63_b,b,favorable,b,unfavorable,integration,liberalFriend,liberal,permanent,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,semiskilled
64_b,b,favorable,b,NA,integration,liberalFriend,liberal,untilOwnHome,NA,NA,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
65_b,b,NA,b,NA,integration,liberalFriend,liberal,permanent,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
66_b,b,favorable,b,favorableAndUnfavorable,conflict,NA,NA,untilBetterPlace,NA,NA,poor,fair,high_school_graduate,NA,biracial_living_experience,semiskilled
67_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
68_b,b,favorable,b,NA,conflict,liberalFriend,liberal,asLongAsEligible,NA,NA,fair,poor,NA,NA,biracial_living_experience,NA
69_b,b,unfavorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA
70_b,b,favorable,b,noComments,NA,NA,NA,NA,NA,favorable,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
71_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
72_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,poor,NA,NA,NA,NA
73_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,good,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
74_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,NA,hard_to_say,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
75_b,b,NA,b,NA,integration,NA,NA,asLongAsEligible,NA,favorable,hard_to_say,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
76_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,NA,NA,good,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
77_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,NA,NA,NA,NA
78_b,b,favorable,b,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,NA,favorable,NA,poor,NA,NA,biracial_living_experience,NA
