id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,NA,conflict,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorable,conflict,NA,NA,asLongAsEligible,NA,NA,NA,poor,NA,favorable,biracial_living_experience,NA
3_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
4_b,b,favorable,b,NA,NA,NA,NA,NA,favorable,NA,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
5_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,poor,some_high_school,NA,NA,semiskilled
6_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,hard_to_say,poor,NA,NA,NA,NA
7_b,b,favorable,b,favorable,integration,NA,NA,neverThoughtAboutIt,NA,NA,good,hard_to_say,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
8_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,good,NA,some_high_school,NA,NA,white_collar_or_skilled
9_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,fair,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
10_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA
11_b,b,unfavorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,NA,NA,good,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
12_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,poor,poor,NA,NA,no_biracial_living_experience,NA
13_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,poor,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,high_school_graduate,NA,NA,white_collar_or_skilled
15_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,favorable,NA,fair,some_high_school,NA,no_biracial_living_experience,white_collar_or_skilled
16_b,b,NA,b,favorable,NA,ambivalentFriend,liberal,permanent,NA,favorable,NA,poor,NA,NA,NA,NA
17_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
18_b,b,favorable,b,unfavorable,NA,NA,NA,asLongAsEligible,NA,NA,good,NA,NA,NA,NA,NA
19_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,untilBetterPlace,favorable,favorable,good,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
20_b,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,NA,NA,favorable,NA,NA
21_b,b,NA,b,favorable,NA,NA,NA,NA,NA,favorable,NA,poor,high_school_graduate,NA,NA,white_collar_or_skilled
22_b,b,favorable,b,NA,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
23_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,NA,some_high_school,NA,NA,semiskilled
24_b,b,favorable,b,favorable,NA,ambivalentFriend,ambivalent,untilBetterPlace,NA,favorable,hard_to_say,NA,NA,NA,NA,NA
25_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
26_b,b,favorable,b,favorableAndUnfavorable,conflict,NA,NA,permanent,NA,favorable,fair,good,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
27_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,hard_to_say,NA,NA,NA,NA,NA
28_b,b,favorable,b,unfavorable,NA,NA,NA,asLongAsEligible,unfavorable,favorable,poor,fair,NA,NA,NA,NA
29_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,NA,good,NA,high_school_graduate,NA,biracial_living_experience,semiskilled
30_b,b,favorable,b,favorableAndUnfavorable,NA,ambivalentFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
31_b,b,favorable,b,noComments,NA,liberalFriend,liberal,NA,NA,NA,good,NA,NA,NA,NA,NA
32_b,b,favorable,b,NA,mutual_acomodation,ambivalentFriend,liberal,asLongAsEligible,NA,NA,fair,NA,NA,NA,biracial_living_experience,NA
33_b,b,NA,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,favorable,favorable,poor,poor,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
34_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,untilBetterPlace,NA,NA,NA,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
35_b,b,NA,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,NA,NA,NA,NA,NA
36_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,NA,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
37_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
38_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,permanent,NA,favorable,fair,good,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
39_b,b,NA,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,hard_to_say,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
40_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,poor,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
41_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,asLongAsEligible,NA,NA,poor,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
42_b,b,favorable,b,NA,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,NA,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
43_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,NA,poor,high_school_graduate,NA,NA,white_collar_or_skilled
44_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,favorable,favorable,NA,NA,some_high_school,NA,NA,white_collar_or_skilled
45_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,NA,NA,fair,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
46_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,hard_to_say,some_high_school,NA,NA,unskilled_domestic_and_personal_service
