id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,poor,hard_to_say,some_high_school,NA,NA,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
3_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,ambivalent,NA,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
4_b,b,favorable,b,NA,integration,NA,NA,asLongAsEligible,NA,NA,NA,NA,NA,NA,biracial_living_experience,NA
5_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,good,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
6_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,NA,poor,NA,NA,NA,NA
7_b,b,favorable,b,NA,NA,liberalFriend,liberal,permanent,unfavorable,NA,good,NA,NA,NA,NA,NA
8_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
9_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,NA,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
10_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,good,NA,NA,NA,NA,NA
11_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,ambivalent,permanent,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
12_b,b,unfavorable,b,NA,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,white_collar_or_skilled
13_b,b,unfavorable,b,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,good,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,good,some_high_school,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,NA,b,unfavorable,NA,NA,NA,permanent,NA,NA,NA,hard_to_say,some_high_school,NA,NA,unskilled_domestic_and_personal_service
16_b,b,NA,b,NA,mutual_acomodation,ambivalentFriend,ambivalent,NA,NA,NA,poor,NA,NA,favorable,biracial_living_experience,NA
17_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,ambivalent,asLongAsEligible,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
18_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,hard_to_say,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
19_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,NA,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
20_b,b,favorable,b,NA,conflict,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,semiskilled
21_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,NA,NA,good,some_high_school,unfavorable,NA,white_collar_or_skilled
22_b,b,favorable,b,favorable,integration,liberalFriend,liberal,NA,NA,NA,poor,NA,NA,NA,biracial_living_experience,NA
23_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,some_high_school,NA,biracial_living_experience,semiskilled
24_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
25_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
26_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,NA,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
27_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,poor,NA,NA,NA,NA,NA
28_b,b,favorable,b,unfavorable,NA,NA,NA,untilOwnHome,NA,NA,hard_to_say,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
29_b,b,NA,b,favorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
30_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,asLongAsEligible,NA,NA,poor,poor,NA,favorable,NA,NA
31_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,NA,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
32_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
33_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,good,NA,NA,NA,NA
34_b,b,favorable,b,favorable,conflict,NA,NA,neverThoughtAboutIt,NA,favorable,poor,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
35_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,good,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,permanent,favorable,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,semiskilled
37_b,b,NA,b,NA,NA,NA,NA,asLongAsEligible,NA,NA,hard_to_say,hard_to_say,NA,NA,NA,NA
38_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,fair,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
39_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,NA,poor,NA,NA,NA,NA,NA
40_b,b,favorable,b,noComments,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,poor,NA,NA,NA,NA
