id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,NA,good,NA,NA,biracial_living_experience,NA
2_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilOwnHome,favorable,favorable,good,NA,NA,favorable,NA,NA
3_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
4_b,b,favorable,b,favorable,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
5_b,b,favorable,b,unfavorable,NA,liberalFriend,ambivalent,untilOwnHome,NA,favorable,poor,poor,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
6_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,good,NA,NA,NA,NA,NA
7_b,b,favorable,b,favorable,conflict,NA,NA,asLongAsEligible,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
8_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,good,NA,NA,NA,NA,NA
9_b,b,NA,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,poor,poor,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
10_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,poor,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
11_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,NA,NA,fair,high_school_graduate,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
12_b,b,NA,b,favorableAndUnfavorable,conflict,NA,NA,neverThoughtAboutIt,NA,favorable,good,poor,NA,NA,biracial_living_experience,NA
13_b,b,NA,b,favorable,NA,NA,NA,NA,NA,favorable,poor,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,favorable,b,NA,NA,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,NA,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
16_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,poor,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
17_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,NA,NA,good,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
18_b,b,favorable,b,NA,NA,liberalFriend,liberal,untilOwnHome,NA,NA,good,NA,NA,NA,NA,NA
19_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,hard_to_say,good,NA,NA,NA,NA
20_b,b,favorable,b,favorable,NA,NA,NA,untilOwnHome,NA,NA,good,NA,NA,NA,NA,NA
21_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,NA,NA,poor,high_school_graduate,favorable,biracial_living_experience,white_collar_or_skilled
22_b,b,favorable,b,NA,NA,ambivalentFriend,ambivalent,NA,NA,NA,NA,poor,NA,NA,NA,NA
23_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,NA,hard_to_say,NA,NA,NA,NA,NA
24_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
25_b,b,favorable,b,favorable,integration,NA,NA,NA,NA,NA,good,hard_to_say,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
26_b,b,NA,b,unfavorable,NA,NA,NA,NA,NA,favorable,hard_to_say,poor,NA,NA,NA,NA
27_b,b,NA,b,NA,NA,NA,NA,asLongAsEligible,NA,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
28_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,ambivalent,permanent,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
29_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,permanent,NA,favorable,poor,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
30_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,NA,NA,NA,good,poor,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
31_b,b,favorable,b,unfavorable,conflict,NA,NA,permanent,NA,NA,hard_to_say,fair,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
32_b,b,favorable,b,NA,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,NA,hard_to_say,grade_school_or_less,NA,NA,semiskilled
33_b,b,unfavorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,good,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
34_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,poor,NA,grade_school_or_less,NA,NA,semiskilled
35_b,b,favorable,b,favorableAndUnfavorable,integration,NA,NA,asLongAsEligible,NA,favorable,poor,poor,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,NA,NA,ambivalentFriend,ambivalent,asLongAsEligible,NA,favorable,good,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
37_b,b,favorable,b,favorable,NA,ambivalentFriend,liberal,asLongAsEligible,NA,NA,poor,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
38_b,b,favorable,b,NA,mutual_acomodation,ambivalentFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
39_b,b,NA,b,NA,NA,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
40_b,b,favorable,b,favorable,integration,liberalFriend,liberal,permanent,NA,NA,poor,good,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
41_b,b,NA,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,NA,NA,NA,NA,fair,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
42_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,unfavorable,hard_to_say,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
43_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,permanent,NA,NA,NA,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
44_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,untilOwnHome,NA,favorable,NA,poor,NA,favorable,biracial_living_experience,NA
45_b,b,favorable,b,favorable,NA,liberalFriend,liberal,neverThoughtAboutIt,favorable,NA,poor,NA,NA,NA,NA,NA
