id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,NA,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,NA,hard_to_say,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
2_b,b,NA,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,poor,NA,NA,biracial_living_experience,NA
3_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,fair,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
4_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,hard_to_say,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
5_b,b,favorable,b,NA,NA,NA,NA,permanent,NA,NA,NA,fair,some_high_school,favorable,NA,semiskilled
6_b,b,favorable,b,favorable,conflict,liberalFriend,liberal,asLongAsEligible,NA,favorable,good,NA,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
7_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,fair,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
8_b,b,favorable,b,NA,NA,liberalFriend,liberal,untilOwnHome,NA,NA,fair,fair,some_high_school,NA,NA,unskilled_domestic_and_personal_service
9_b,b,unfavorable,b,unfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,hard_to_say,some_high_school,unfavorable,NA,semiskilled
10_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,NA,high_school_graduate,NA,NA,semiskilled
11_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,NA,NA,grade_school_or_less,NA,NA,semiskilled
12_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,NA,NA,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
13_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,favorable,favorable,NA,poor,NA,NA,NA,NA
14_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
15_b,b,favorable,b,unfavorable,conflict,ambivalentFriend,liberal,NA,NA,NA,NA,poor,grade_school_or_less,NA,biracial_living_experience,semiskilled
16_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,fair,poor,NA,NA,NA,NA
17_b,b,favorable,b,favorable,integration,NA,NA,permanent,NA,NA,poor,poor,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
18_b,b,favorable,b,favorable,NA,NA,NA,permanent,NA,NA,poor,NA,grade_school_or_less,unfavorable,NA,unskilled_domestic_and_personal_service
19_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
20_b,b,favorable,b,NA,NA,NA,NA,untilOwnHome,NA,favorable,hard_to_say,hard_to_say,NA,NA,NA,NA
21_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,hard_to_say,NA,NA,NA,NA,NA
22_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,untilBetterPlace,NA,favorable,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
23_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,NA,fair,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
24_b,b,NA,b,NA,NA,liberalFriend,liberal,permanent,NA,NA,good,NA,NA,NA,NA,NA
25_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,NA,poor,good,NA,NA,NA,NA
26_b,b,favorable,b,favorable,conflict,NA,NA,untilBetterPlace,NA,favorable,NA,poor,high_school_graduate,NA,biracial_living_experience,semiskilled
27_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,NA,poor,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
28_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
29_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,poor,NA,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
