id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,poor,some_high_school,NA,biracial_living_experience,semiskilled
3_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,good,NA,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
4_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,NA,poor,hard_to_say,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
5_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,favorable,fair,NA,NA,NA,biracial_living_experience,NA
6_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,good,NA,NA,NA,NA,NA
7_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,favorable,NA,hard_to_say,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
8_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,good,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
9_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,favorable,hard_to_say,hard_to_say,some_high_school,NA,biracial_living_experience,semiskilled
10_b,b,favorable,b,favorableAndUnfavorable,integration,NA,NA,NA,NA,favorable,hard_to_say,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
11_b,b,unfavorable,b,unfavorable,NA,NA,NA,asLongAsEligible,favorable,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
12_b,b,favorable,b,favorable,conflict,NA,NA,NA,NA,favorable,good,poor,NA,NA,biracial_living_experience,NA
