evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,permanent,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
unfavorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
favorable,NA,NA,integration,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,fair,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,poor,noBiracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,NA,whiteColorSkilled
unfavorable,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,favorable,NA,NA
favorable,NA,unfavorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,someHighSchool,NA,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
unfavorable,NA,NA,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,favorable,NA,unskilledDomesticPersonalService
favorable,NA,favorable,NA,liberalFriend,liberal,hardToSay,NA,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,untilBetterPlace,unfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,unfavorable,NA,someHighSchool,NA,NA,NA
favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,good,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,good,NA,NA,NA,semiSkilled
favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,NA,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,hardToSay,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
