id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,favorable,integration,NA,NA,neverThoughtAboutIt,NA,NA,hard_to_say,NA,high_school_graduate,NA,biracial_living_experience,semiskilled
2_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,poor,NA,NA,NA,NA
3_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,favorable,NA,poor,NA,NA,biracial_living_experience,NA
4_b,b,unfavorable,b,favorable,NA,NA,NA,untilBetterPlace,NA,favorable,NA,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
5_b,b,favorable,b,favorable,integration,liberalFriend,liberal,NA,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
6_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,NA,NA,NA,NA,NA
7_b,b,favorable,b,favorable,integration,NA,NA,NA,NA,favorable,fair,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
8_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,NA,favorable,favorable,NA,good,some_high_school,NA,NA,unskilled_domestic_and_personal_service
9_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,untilBetterPlace,NA,NA,NA,poor,NA,NA,biracial_living_experience,NA
10_b,b,NA,b,favorable,NA,liberalFriend,ambivalent,asLongAsEligible,NA,NA,NA,poor,NA,NA,NA,NA
11_b,b,NA,b,favorable,integration,liberalFriend,liberal,NA,favorable,favorable,good,NA,NA,NA,biracial_living_experience,NA
12_b,b,favorable,b,favorable,integration,ambivalentFriend,ambivalent,untilBetterPlace,NA,NA,poor,NA,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
13_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,NA,poor,NA,grade_school_or_less,unfavorable,no_biracial_living_experience,unskilled_domestic_and_personal_service
14_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,NA,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
15_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,asLongAsEligible,NA,NA,good,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
