id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,transiency,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,noComments,mutual_acomodation,NA,NA,good,favorable,favorable,NA,permanent,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
2_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,NA,NA,grade_school_or_less,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
3_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,hard_to_say,asLongAsEligible,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
4_b,b,unfavorable,b,unfavorable,NA,NA,NA,NA,NA,favorable,NA,permanent,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
5_b,b,favorable,b,favorable,conflict,NA,NA,NA,unfavorable,favorable,poor,permanent,NA,NA,biracial_living_experience,NA
6_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,ambivalent,NA,NA,NA,hard_to_say,untilOwnHome,NA,NA,biracial_living_experience,NA
7_b,b,favorable,b,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,hard_to_say,NA,NA,NA,NA,NA
8_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,fair,NA,NA,NA,NA,NA,NA,biracial_living_experience,NA
9_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,good,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
10_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,poor,NA,favorable,poor,asLongAsEligible,grade_school_or_less,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
11_b,b,favorable,b,favorable,NA,NA,NA,fair,favorable,favorable,NA,NA,high_school_graduate,favorable,NA,semiskilled
12_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,asLongAsEligible,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
13_b,b,favorable,b,NA,NA,NA,NA,poor,NA,favorable,NA,NA,grade_school_or_less,NA,NA,semiskilled
14_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,asLongAsEligible,NA,NA,NA,NA
15_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
16_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,fair,untilBetterPlace,NA,NA,NA,NA
17_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,fair,NA,favorable,NA,permanent,some_high_school,NA,NA,white_collar_or_skilled
18_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,hard_to_say,NA,NA,NA,asLongAsEligible,NA,NA,NA,NA
19_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,fair,asLongAsEligible,NA,NA,NA,NA
20_b,b,favorable,b,favorable,NA,NA,NA,good,NA,favorable,poor,NA,NA,NA,NA,NA
21_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,hard_to_say,untilOwnHome,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
22_b,b,favorable,b,favorable,NA,NA,NA,good,NA,favorable,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
23_b,b,favorable,b,NA,conflict,liberalFriend,liberal,good,NA,favorable,NA,asLongAsEligible,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
24_b,b,favorable,b,unfavorable,NA,liberalFriend,ambivalent,poor,NA,favorable,good,asLongAsEligible,NA,NA,NA,NA
25_b,b,NA,b,NA,NA,NA,NA,NA,NA,favorable,poor,NA,high_school_graduate,favorable,NA,unskilled_domestic_and_personal_service
26_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,favorable,unfavorable,hard_to_say,asLongAsEligible,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
27_b,b,NA,b,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,poor,permanent,high_school_graduate,NA,NA,semiskilled
28_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,NA,NA,grade_school_or_less,favorable,NA,white_collar_or_skilled
29_b,b,favorable,b,unfavorable,NA,NA,NA,NA,NA,NA,poor,neverThoughtAboutIt,grade_school_or_less,NA,NA,white_collar_or_skilled
30_b,b,unfavorable,b,NA,NA,liberalFriend,liberal,good,NA,NA,poor,untilBetterPlace,NA,NA,NA,NA
31_b,b,favorable,b,NA,conflict,liberalFriend,liberal,poor,NA,NA,NA,NA,grade_school_or_less,NA,no_biracial_living_experience,white_collar_or_skilled
32_b,b,NA,b,favorable,mutual_acomodation,NA,NA,NA,NA,NA,NA,neverThoughtAboutIt,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
33_b,b,unfavorable,b,favorable,NA,NA,NA,hard_to_say,NA,NA,NA,asLongAsEligible,some_high_school,NA,NA,white_collar_or_skilled
34_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,good,favorable,NA,poor,NA,NA,NA,biracial_living_experience,NA
35_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,poor,asLongAsEligible,NA,NA,NA,NA
36_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,poor,neverThoughtAboutIt,some_high_school,NA,NA,semiskilled
37_b,b,favorable,b,favorable,NA,liberalFriend,liberal,fair,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
38_b,b,favorable,b,NA,NA,NA,NA,NA,NA,NA,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
39_b,b,favorable,b,favorable,NA,liberalFriend,liberal,hard_to_say,NA,favorable,NA,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
40_b,b,NA,b,favorable,NA,NA,NA,NA,NA,favorable,NA,permanent,some_high_school,favorable,NA,semiskilled
41_b,b,favorable,b,favorable,NA,liberalFriend,liberal,hard_to_say,NA,favorable,NA,asLongAsEligible,NA,NA,NA,NA
42_b,b,favorable,b,NA,conflict,NA,NA,good,NA,NA,NA,untilOwnHome,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
43_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,ambivalent,NA,NA,NA,poor,asLongAsEligible,NA,favorable,biracial_living_experience,NA
44_b,b,favorable,b,NA,NA,liberalFriend,liberal,hard_to_say,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
45_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,NA,NA
46_b,b,favorable,b,favorable,conflict,NA,NA,poor,NA,NA,NA,NA,NA,NA,no_biracial_living_experience,NA
47_b,b,NA,b,NA,mutual_acomodation,NA,NA,poor,NA,favorable,good,asLongAsEligible,high_school_graduate,unfavorable,biracial_living_experience,unskilled_domestic_and_personal_service
48_b,b,favorable,b,favorable,NA,NA,NA,good,NA,favorable,NA,NA,some_high_school,NA,NA,semiskilled
49_b,b,favorable,b,favorable,NA,liberalFriend,liberal,fair,NA,favorable,hard_to_say,asLongAsEligible,NA,NA,NA,NA
50_b,b,favorable,b,favorable,NA,liberalFriend,liberal,fair,NA,NA,good,permanent,NA,NA,NA,NA
51_b,b,favorable,b,favorable,NA,ambivalentFriend,ambivalent,NA,NA,NA,poor,neverThoughtAboutIt,NA,NA,NA,NA
52_b,b,favorable,b,NA,mutual_acomodation,ambivalentFriend,liberal,fair,NA,favorable,poor,permanent,NA,NA,biracial_living_experience,NA
53_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,NA,NA,untilOwnHome,some_high_school,NA,NA,unskilled_domestic_and_personal_service
54_b,b,favorable,b,unfavorable,conflict,NA,NA,NA,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,no_biracial_living_experience,white_collar_or_skilled
55_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,asLongAsEligible,NA,NA,NA,NA
56_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,poor,asLongAsEligible,NA,NA,NA,NA
57_b,b,favorable,b,favorable,NA,liberalFriend,liberal,fair,NA,favorable,NA,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
58_b,b,NA,b,favorable,NA,liberalFriend,liberal,good,NA,favorable,NA,asLongAsEligible,NA,NA,NA,NA
59_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,good,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
60_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA,NA
61_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,poor,NA,NA,NA,NA,NA
62_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,fair,asLongAsEligible,NA,NA,biracial_living_experience,NA
63_b,b,unfavorable,b,noComments,NA,liberalFriend,liberal,fair,NA,favorable,NA,asLongAsEligible,high_school_graduate,NA,NA,semiskilled
64_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,good,NA,favorable,hard_to_say,asLongAsEligible,NA,NA,biracial_living_experience,NA
65_b,b,favorable,b,NA,conflict,liberalFriend,liberal,NA,NA,favorable,poor,NA,NA,NA,no_biracial_living_experience,NA
66_b,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,good,NA,favorable,NA,permanent,high_school_graduate,NA,biracial_living_experience,semiskilled
67_b,b,favorable,b,unfavorable,NA,NA,NA,fair,NA,favorable,NA,asLongAsEligible,NA,NA,NA,NA
68_b,b,NA,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,neverThoughtAboutIt,NA,NA,biracial_living_experience,NA
69_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,poor,asLongAsEligible,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
70_b,b,NA,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,good,permanent,some_high_school,NA,biracial_living_experience,white_collar_or_skilled
71_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,poor,permanent,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
72_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,fair,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
73_b,b,unfavorable,b,favorable,conflict,ambivalentFriend,liberal,hard_to_say,NA,NA,NA,asLongAsEligible,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
74_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,NA,good,asLongAsEligible,NA,NA,biracial_living_experience,NA
75_b,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,untilBetterPlace,some_high_school,favorable,no_biracial_living_experience,semiskilled
76_b,b,favorable,b,NA,NA,NA,NA,poor,favorable,NA,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
77_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,fair,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
78_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,hard_to_say,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,NA,white_collar_or_skilled
