id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,transiency,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,favorable,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
2_b,b,favorable,b,noComments,NA,NA,NA,hard_to_say,NA,NA,NA,NA,high_school_graduate,NA,NA,white_collar_or_skilled
3_b,b,NA,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,poor,permanent,NA,NA,biracial_living_experience,NA
4_b,b,favorable,b,NA,NA,liberalFriend,liberal,fair,NA,favorable,poor,asLongAsEligible,NA,NA,NA,NA
5_b,b,favorable,b,NA,conflict,NA,NA,NA,NA,NA,hard_to_say,NA,high_school_graduate,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
6_b,b,favorable,b,favorable,conflict,NA,NA,poor,NA,unfavorable,NA,untilBetterPlace,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
7_b,b,favorable,b,noComments,NA,liberalFriend,liberal,hard_to_say,NA,favorable,NA,permanent,high_school_graduate,NA,NA,white_collar_or_skilled
8_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,untilOwnHome,NA,NA,NA,NA
9_b,b,unfavorable,b,NA,NA,NA,NA,good,NA,favorable,good,untilBetterPlace,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
10_b,b,NA,b,favorable,conflict,liberalFriend,liberal,poor,NA,favorable,NA,NA,high_school_graduate,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
11_b,b,unfavorable,b,favorable,mutual_acomodation,NA,NA,poor,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
12_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,NA,good,NA,NA,NA,biracial_living_experience,NA
13_b,b,favorable,b,favorable,conflict,liberalFriend,liberal,NA,NA,NA,NA,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
14_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,poor,unfavorable,favorable,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,favorable,b,favorable,integration,liberalFriend,liberal,NA,NA,NA,good,untilOwnHome,NA,NA,biracial_living_experience,NA
16_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,favorable,favorable,hard_to_say,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
17_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,poor,NA,some_high_school,NA,NA,semiskilled
18_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,poor,NA,NA,good,NA,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
19_b,b,favorable,b,favorable,NA,NA,NA,NA,favorable,favorable,NA,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
20_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,unfavorable,NA,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
21_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,poor,NA,favorable,good,NA,NA,NA,biracial_living_experience,NA
22_b,b,favorable,b,NA,NA,NA,NA,hard_to_say,NA,favorable,poor,permanent,high_school_graduate,NA,NA,semiskilled
23_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,good,NA,NA,good,permanent,some_high_school,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
24_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,good,favorable,NA,hard_to_say,asLongAsEligible,NA,NA,biracial_living_experience,NA
25_b,b,NA,b,unfavorable,NA,liberalFriend,liberal,poor,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
26_b,b,NA,b,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
27_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,fair,NA,favorable,NA,asLongAsEligible,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
28_b,b,favorable,b,favorable,NA,NA,NA,fair,NA,favorable,good,asLongAsEligible,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
29_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,NA,NA,favorable,poor,asLongAsEligible,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
30_b,b,NA,b,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hard_to_say,neverThoughtAboutIt,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
31_b,b,favorable,b,NA,integration,liberalFriend,ambivalent,NA,NA,NA,good,permanent,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
32_b,b,favorable,b,favorable,integration,NA,NA,hard_to_say,NA,NA,poor,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
33_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,good,NA,NA,NA,NA,NA
34_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,good,asLongAsEligible,NA,NA,NA,NA
35_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,high_school_graduate,NA,NA,unskilled_domestic_and_personal_service
36_b,b,favorable,b,favorableAndUnfavorable,integration,liberalFriend,liberal,good,NA,NA,NA,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
37_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,asLongAsEligible,NA,NA,biracial_living_experience,NA
38_b,b,favorable,b,NA,NA,liberalFriend,liberal,poor,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
39_b,b,favorable,b,unfavorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,neverThoughtAboutIt,NA,NA,biracial_living_experience,NA
40_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,poor,untilBetterPlace,NA,favorable,NA,NA
41_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,NA,permanent,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
42_b,b,favorable,b,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
43_b,b,favorable,b,NA,conflict,liberalFriend,liberal,NA,NA,NA,NA,asLongAsEligible,NA,favorable,biracial_living_experience,NA
44_b,b,favorable,b,favorable,conflict,NA,NA,poor,favorable,favorable,NA,asLongAsEligible,high_school_graduate,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
45_b,b,favorable,b,NA,NA,NA,NA,hard_to_say,NA,NA,fair,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
46_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
47_b,b,NA,b,NA,mutual_acomodation,liberalFriend,liberal,good,NA,NA,NA,asLongAsEligible,some_high_school,favorable,biracial_living_experience,semiskilled
48_b,b,favorable,b,favorable,NA,liberalFriend,liberal,hard_to_say,favorable,favorable,good,untilOwnHome,some_high_school,NA,NA,unskilled_domestic_and_personal_service
49_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,NA,white_collar_or_skilled
50_b,b,NA,b,favorableAndUnfavorable,NA,NA,NA,hard_to_say,NA,NA,NA,permanent,high_school_graduate,NA,NA,white_collar_or_skilled
51_b,b,unfavorable,b,noComments,NA,liberalFriend,ambivalent,poor,NA,favorable,NA,NA,high_school_graduate,NA,NA,semiskilled
