id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,neverThoughtAboutIt,NA,favorable,poor,poor,some_high_school,NA,NA,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorable,NA,liberalFriend,ambivalent,asLongAsEligible,NA,favorable,NA,good,grade_school_or_less,NA,NA,semiskilled
3_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,NA,NA,hard_to_say,NA,NA,biracial_living_experience,NA
4_b,b,favorable,b,favorable,integration,ambivalentFriend,liberal,NA,NA,favorable,poor,NA,NA,NA,biracial_living_experience,NA
5_b,b,favorable,b,NA,NA,NA,NA,asLongAsEligible,NA,favorable,NA,poor,grade_school_or_less,NA,NA,white_collar_or_skilled
6_b,b,NA,b,favorable,NA,liberalFriend,ambivalent,permanent,NA,favorable,NA,hard_to_say,NA,NA,NA,NA
7_b,b,favorable,b,favorable,NA,liberalFriend,liberal,asLongAsEligible,NA,favorable,fair,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
8_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,untilBetterPlace,NA,favorable,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
9_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,NA,good,NA,NA,NA,NA,NA
10_b,b,favorable,b,NA,NA,NA,NA,untilOwnHome,NA,NA,poor,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
11_b,b,favorable,b,NA,mutual_acomodation,NA,NA,neverThoughtAboutIt,NA,favorable,good,poor,high_school_graduate,NA,biracial_living_experience,semiskilled
12_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,untilBetterPlace,NA,NA,NA,NA,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
13_b,b,unfavorable,b,favorable,mutual_acomodation,NA,NA,permanent,NA,NA,NA,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
14_b,b,favorable,b,NA,conflict,NA,NA,asLongAsEligible,NA,NA,fair,good,some_high_school,favorable,no_biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,favorable,NA,poor,NA,NA,NA,NA
16_b,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,NA,good,NA,NA,NA,NA,NA
17_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,ambivalent,asLongAsEligible,NA,NA,NA,good,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
18_b,b,favorable,b,favorable,NA,NA,NA,asLongAsEligible,NA,NA,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
