id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,transiency,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,favorable,conflict,liberalFriend,liberal,NA,NA,NA,poor,untilOwnHome,grade_school_or_less,NA,no_biracial_living_experience,unskilled_domestic_and_personal_service
2_b,b,favorable,b,favorable,NA,NA,NA,hard_to_say,NA,favorable,NA,NA,NA,unfavorable,NA,NA
3_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,NA,NA,permanent,NA,NA,NA,NA
4_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,NA,untilBetterPlace,some_high_school,NA,biracial_living_experience,semiskilled
5_b,b,unfavorable,b,favorableAndUnfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,NA,NA,untilBetterPlace,NA,favorable,biracial_living_experience,NA
6_b,b,favorable,b,NA,NA,ambivalentFriend,liberal,NA,NA,favorable,good,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
7_b,b,NA,b,NA,mutual_acomodation,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,biracial_living_experience,NA
8_b,b,favorable,b,NA,NA,liberalFriend,liberal,poor,NA,NA,NA,asLongAsEligible,some_high_school,favorable,NA,white_collar_or_skilled
9_b,b,NA,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,hard_to_say,untilOwnHome,NA,NA,NA,NA
10_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,good,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
11_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,NA,NA,high_school_graduate,NA,NA,semiskilled
12_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,untilOwnHome,NA,NA,NA,NA
13_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,hard_to_say,neverThoughtAboutIt,some_high_school,favorable,NA,unskilled_domestic_and_personal_service
14_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,favorable,favorable,poor,NA,NA,NA,biracial_living_experience,NA
15_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,NA,NA,grade_school_or_less,NA,NA,semiskilled
16_b,b,favorable,b,NA,mutual_acomodation,NA,NA,poor,NA,favorable,poor,neverThoughtAboutIt,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
17_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,fair,permanent,NA,favorable,NA,NA
18_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,hard_to_say,NA,unfavorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,NA,white_collar_or_skilled
19_b,b,favorable,b,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,NA,NA
20_b,b,favorable,b,favorable,NA,liberalFriend,liberal,hard_to_say,NA,unfavorable,hard_to_say,NA,high_school_graduate,favorable,NA,unskilled_domestic_and_personal_service
