id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,transiency,education,evaluationOfCoResidents,pastExperience,occupation
1_b,b,NA,b,NA,NA,NA,NA,poor,NA,NA,NA,asLongAsEligible,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
2_b,b,favorable,b,NA,NA,NA,NA,NA,NA,favorable,hard_to_say,asLongAsEligible,NA,NA,NA,NA
3_b,b,favorable,b,favorableAndUnfavorable,NA,liberalFriend,ambivalent,fair,NA,favorable,NA,untilBetterPlace,high_school_graduate,NA,NA,white_collar_or_skilled
4_b,b,NA,b,noComments,NA,NA,NA,NA,NA,favorable,fair,asLongAsEligible,NA,NA,NA,NA
5_b,b,favorable,b,noComments,NA,NA,NA,good,NA,favorable,NA,NA,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
6_b,b,favorable,b,unfavorable,conflict,NA,NA,good,NA,favorable,NA,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
7_b,b,favorable,b,NA,NA,NA,NA,poor,NA,favorable,good,asLongAsEligible,NA,NA,NA,NA
8_b,b,favorable,b,favorable,NA,liberalFriend,liberal,poor,NA,NA,fair,neverThoughtAboutIt,NA,favorable,NA,NA
9_b,b,favorable,b,unfavorable,NA,liberalFriend,liberal,good,favorable,NA,good,untilOwnHome,NA,NA,NA,NA
10_b,b,favorable,b,favorableAndUnfavorable,mutual_acomodation,NA,NA,NA,favorable,NA,hard_to_say,untilOwnHome,grade_school_or_less,NA,biracial_living_experience,semiskilled
11_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,permanent,grade_school_or_less,NA,biracial_living_experience,white_collar_or_skilled
12_b,b,favorable,b,NA,conflict,NA,NA,NA,NA,favorable,good,asLongAsEligible,NA,NA,no_biracial_living_experience,NA
13_b,b,favorable,b,favorable,NA,NA,NA,NA,NA,NA,fair,asLongAsEligible,NA,NA,NA,NA
14_b,b,favorable,b,NA,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,NA,asLongAsEligible,high_school_graduate,NA,biracial_living_experience,unskilled_domestic_and_personal_service
15_b,b,favorable,b,favorable,integration,liberalFriend,ambivalent,NA,favorable,NA,good,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,semiskilled
16_b,b,NA,b,NA,mutual_acomodation,NA,NA,NA,NA,favorable,NA,asLongAsEligible,NA,NA,biracial_living_experience,NA
17_b,b,favorable,b,NA,integration,NA,NA,NA,NA,favorable,NA,NA,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
18_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,NA,asLongAsEligible,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
19_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,favorable,NA,NA,NA,NA,NA,biracial_living_experience,NA
20_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,hard_to_say,permanent,grade_school_or_less,NA,NA,white_collar_or_skilled
21_b,b,NA,b,favorable,mutual_acomodation,NA,NA,NA,NA,favorable,good,untilBetterPlace,NA,NA,biracial_living_experience,NA
22_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,favorable,good,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
23_b,b,favorable,b,favorable,conflict,NA,NA,NA,NA,NA,NA,permanent,some_high_school,NA,no_biracial_living_experience,white_collar_or_skilled
24_b,b,favorable,b,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,poor,asLongAsEligible,NA,unfavorable,NA,NA
25_b,b,NA,b,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
26_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,unfavorable,poor,untilBetterPlace,grade_school_or_less,favorable,biracial_living_experience,unskilled_domestic_and_personal_service
27_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,hard_to_say,NA,favorable,NA,NA,high_school_graduate,NA,biracial_living_experience,white_collar_or_skilled
28_b,b,NA,b,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,untilBetterPlace,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
29_b,b,favorable,b,favorableAndUnfavorable,NA,ambivalentFriend,ambivalent,good,NA,NA,NA,asLongAsEligible,some_high_school,NA,NA,unskilled_domestic_and_personal_service
30_b,b,favorable,b,noComments,mutual_acomodation,liberalFriend,liberal,poor,NA,favorable,poor,asLongAsEligible,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
31_b,b,favorable,b,NA,mutual_acomodation,NA,NA,NA,NA,favorable,poor,NA,NA,favorable,biracial_living_experience,NA
32_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,fair,NA,grade_school_or_less,favorable,NA,unskilled_domestic_and_personal_service
33_b,b,NA,b,favorableAndUnfavorable,NA,NA,NA,good,NA,favorable,poor,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
34_b,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,good,asLongAsEligible,high_school_graduate,favorable,biracial_living_experience,white_collar_or_skilled
35_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,fair,NA,favorable,NA,neverThoughtAboutIt,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
36_b,b,favorable,b,NA,NA,liberalFriend,liberal,good,NA,favorable,poor,neverThoughtAboutIt,some_high_school,NA,NA,unskilled_domestic_and_personal_service
37_b,b,favorable,b,favorable,NA,liberalFriend,liberal,NA,NA,NA,hard_to_say,NA,some_high_school,NA,NA,unskilled_domestic_and_personal_service
38_b,b,favorable,b,favorable,mutual_acomodation,NA,NA,poor,NA,favorable,poor,asLongAsEligible,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
39_b,b,favorable,b,favorable,conflict,NA,NA,hard_to_say,favorable,favorable,poor,NA,NA,NA,biracial_living_experience,NA
40_b,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,good,NA,NA,poor,untilOwnHome,grade_school_or_less,NA,biracial_living_experience,unskilled_domestic_and_personal_service
41_b,b,favorable,b,favorable,NA,NA,NA,poor,unfavorable,favorable,NA,NA,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
42_b,b,favorable,b,NA,NA,liberalFriend,liberal,NA,NA,favorable,good,permanent,grade_school_or_less,NA,NA,white_collar_or_skilled
