evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,whiteColorSkilled
favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,hardToSay,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
favorable,NA,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,unfavorable,NA
favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,NA,good,NA,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,unfavorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,NA,NA,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,good,NA,NA,NA,whiteColorSkilled
favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,noBiracialLivingExperience,favorable,NA,someHighSchool,NA,favorable,NA
favorable,asLongAsEligible,unfavorable,NA,NA,NA,poor,NA,favorable,poor,NA,favorable,NA,unskilledDomesticPersonalService
NA,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
favorable,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,NA,noBiracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,unfavorable,NA
favorable,asLongAsEligible,unfavorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
NA,neverThoughtAboutIt,favorable,conflict,NA,NA,fair,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,whiteColorSkilled
favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilOwnHome,favorable,NA,liberalFriend,ambivalent,fair,NA,NA,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,permanent,unfavorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,highSchoolGraduate,NA,NA,whiteColorSkilled
