evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
favorable,permanent,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
favorable,untilOwnHome,favorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
favorable,permanent,favorable,NA,NA,NA,good,NA,favorable,fair,NA,NA,NA,whiteColorSkilled
NA,untilBetterPlace,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
NA,NA,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
favorable,neverThoughtAboutIt,favorable,NA,ambivalentFriend,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,noComments,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
favorable,neverThoughtAboutIt,noComments,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
favorable,untilBetterPlace,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA
favorable,NA,NA,integration,ambivalentFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
NA,permanent,NA,NA,liberalFriend,ambivalent,fair,NA,favorable,poor,NA,NA,favorable,unskilledDomesticPersonalService
NA,asLongAsEligible,NA,NA,NA,NA,fair,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
NA,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
favorable,untilBetterPlace,unfavorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,NA,NA,NA,NA
favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,noBiracialLivingExperience,favorable,good,someHighSchool,favorable,NA,semiSkilled
favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
unfavorable,asLongAsEligible,unfavorable,NA,NA,NA,poor,NA,NA,fair,gradeSchoolOrLess,favorable,NA,semiSkilled
