id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,NA,favorable,conflict,liberalFriend,liberal,poor,noBiracialLivingExperience,favorable,poor,NA,favorable,NA,semiSkilled
2,favorable,NA,unfavorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
3,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
4,NA,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
5,favorable,neverThoughtAboutIt,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
6,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,good,NA,favorable,good,NA,NA,NA,whiteColorSkilled
7,favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
8,NA,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
9,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
10,favorable,NA,noComments,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
11,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
12,favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
13,unfavorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
14,NA,NA,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
15,NA,NA,NA,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
