id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,unfavorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
2,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
3,NA,untilBetterPlace,NA,NA,liberalFriend,liberal,good,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
4,favorable,asLongAsEligible,noComments,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
5,favorable,asLongAsEligible,noComments,NA,NA,NA,hardToSay,NA,NA,good,highSchoolGraduate,NA,NA,whiteColorSkilled
6,favorable,asLongAsEligible,NA,NA,ambivalentFriend,liberal,hardToSay,NA,NA,poor,NA,favorable,NA,unskilledDomesticPersonalService
7,favorable,NA,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
8,favorable,permanent,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
9,favorable,permanent,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
10,unfavorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
11,favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,unfavorable,NA
12,NA,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
13,unfavorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
14,favorable,asLongAsEligible,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
15,NA,untilOwnHome,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
16,favorable,untilBetterPlace,NA,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
17,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,unfavorable,NA,gradeSchoolOrLess,NA,NA,NA
18,unfavorable,asLongAsEligible,noComments,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
19,favorable,asLongAsEligible,favorableAndUnfavorable,integration,NA,NA,good,biracialLivingExperience,favorable,good,NA,NA,NA,whiteColorSkilled
20,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
21,favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
22,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
23,favorable,untilBetterPlace,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
