id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,NA,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,favorable,NA,NA
2,favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
3,favorable,untilOwnHome,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
4,NA,NA,favorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
5,NA,permanent,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
6,NA,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
7,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,NA,NA,NA,whiteColorSkilled
8,favorable,NA,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,favorable,NA,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
10,NA,untilBetterPlace,favorable,NA,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA
11,NA,neverThoughtAboutIt,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,hardToSay,NA,NA,favorable,unskilledDomesticPersonalService
12,favorable,untilBetterPlace,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
13,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,favorable,NA
14,favorable,neverThoughtAboutIt,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
15,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
16,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
17,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
18,favorable,asLongAsEligible,noComments,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
19,favorable,permanent,noComments,mutualAcomodataion,liberalFriend,liberal,fair,noBiracialLivingExperience,favorable,fair,gradeSchoolOrLess,unfavorable,NA,unskilledDomesticPersonalService
20,favorable,NA,noComments,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,unfavorable,NA,NA
21,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
22,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
23,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
24,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,someHighSchool,NA,NA,whiteColorSkilled
25,favorable,permanent,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
26,favorable,untilOwnHome,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
27,NA,permanent,NA,NA,NA,NA,good,NA,favorable,fair,someHighSchool,NA,NA,semiSkilled
28,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,favorable,NA,NA
29,favorable,asLongAsEligible,unfavorable,NA,NA,NA,good,NA,NA,poor,someHighSchool,NA,favorable,semiSkilled
30,favorable,NA,NA,NA,NA,NA,poor,NA,favorable,fair,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
31,unfavorable,permanent,NA,mutualAcomodataion,ambivalentFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,NA,NA,NA,NA
32,favorable,untilBetterPlace,favorableAndUnfavorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,NA,favorable,NA,NA
33,NA,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
34,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
35,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,semiSkilled
36,NA,untilOwnHome,favorable,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
37,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
38,favorable,NA,unfavorable,conflict,NA,NA,poor,biracialLivingExperience,unfavorable,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
39,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
40,favorable,NA,favorable,NA,NA,NA,hardToSay,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
41,favorable,NA,favorable,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
42,favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
43,favorable,asLongAsEligible,NA,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
44,favorable,neverThoughtAboutIt,favorableAndUnfavorable,integration,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
45,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
46,favorable,permanent,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,favorable,NA
47,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,poor,NA,NA,NA,whiteColorSkilled
48,unfavorable,permanent,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
49,favorable,neverThoughtAboutIt,favorable,NA,ambivalentFriend,liberal,poor,NA,NA,good,NA,favorable,NA,semiSkilled
50,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
51,favorable,asLongAsEligible,NA,conflict,NA,NA,fair,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
52,favorable,permanent,NA,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,unfavorable,NA
53,favorable,asLongAsEligible,NA,NA,NA,NA,hardToSay,NA,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
54,favorable,NA,favorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
55,favorable,asLongAsEligible,favorable,integration,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
56,unfavorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
57,favorable,asLongAsEligible,NA,integration,liberalFriend,liberal,poor,biracialLivingExperience,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
58,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
59,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
60,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
61,favorable,permanent,favorable,conflict,NA,NA,poor,biracialLivingExperience,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
62,favorable,asLongAsEligible,NA,integration,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
63,favorable,untilOwnHome,favorable,NA,NA,NA,fair,NA,NA,poor,gradeSchoolOrLess,favorable,favorable,semiSkilled
64,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
65,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
66,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
67,favorable,NA,NA,NA,liberalFriend,liberal,poor,NA,NA,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
68,NA,asLongAsEligible,favorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
69,favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
70,favorable,untilBetterPlace,NA,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,semiSkilled
71,NA,NA,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
72,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
73,favorable,NA,NA,NA,NA,NA,poor,NA,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
74,favorable,asLongAsEligible,NA,conflict,NA,NA,hardToSay,noBiracialLivingExperience,NA,fair,highSchoolGraduate,NA,NA,semiSkilled
75,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
76,favorable,NA,favorable,NA,liberalFriend,ambivalent,good,NA,NA,good,someHighSchool,favorable,NA,unskilledDomesticPersonalService
77,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
78,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
