id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
2,NA,NA,NA,integration,liberalFriend,liberal,poor,biracialLivingExperience,NA,fair,NA,favorable,NA,unskilledDomesticPersonalService
3,NA,permanent,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,good,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
4,favorable,asLongAsEligible,NA,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,favorable,NA,semiSkilled
5,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
6,favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,poor,noBiracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
7,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
8,favorable,untilBetterPlace,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,favorable,NA
9,favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
10,favorable,permanent,NA,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,NA,poor,NA,favorable,NA,semiSkilled
11,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
12,favorable,asLongAsEligible,NA,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
13,unfavorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
14,NA,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,NA,favorable,NA,semiSkilled
15,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
16,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,unfavorable,NA,someHighSchool,NA,NA,NA
17,unfavorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,favorable,unskilledDomesticPersonalService
18,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,fair,gradeSchoolOrLess,NA,NA,semiSkilled
19,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
20,NA,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
21,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
22,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
23,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,NA,hardToSay,someHighSchool,NA,favorable,unskilledDomesticPersonalService
24,unfavorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
