id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,NA,NA,favorable,unskilledDomesticPersonalService
2,favorable,permanent,noComments,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
3,favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
4,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
5,favorable,neverThoughtAboutIt,NA,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
6,favorable,asLongAsEligible,noComments,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
7,favorable,untilBetterPlace,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,semiSkilled
8,NA,NA,favorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,NA,good,someHighSchool,favorable,NA,unskilledDomesticPersonalService
9,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
10,favorable,NA,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
11,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
12,favorable,asLongAsEligible,NA,integration,NA,NA,fair,biracialLivingExperience,NA,good,someHighSchool,NA,NA,semiSkilled
13,favorable,asLongAsEligible,unfavorable,integration,ambivalentFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
14,favorable,untilOwnHome,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
15,favorable,NA,favorable,NA,NA,NA,poor,NA,favorable,hardToSay,someHighSchool,NA,unfavorable,semiSkilled
16,NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
17,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
18,favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
19,unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,semiSkilled
21,favorable,NA,NA,NA,NA,NA,poor,NA,NA,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
22,favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,favorable,unfavorable,unskilledDomesticPersonalService
23,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
24,favorable,NA,unfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
25,NA,neverThoughtAboutIt,favorable,integration,NA,NA,poor,biracialLivingExperience,NA,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
26,favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
27,favorable,permanent,NA,NA,NA,NA,fair,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,whiteColorSkilled
28,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,ambivalentFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
29,favorable,NA,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
30,favorable,permanent,noComments,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
31,favorable,NA,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
32,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,NA,fair,NA,unfavorable,NA,unskilledDomesticPersonalService
33,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,fair,NA,NA,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
34,favorable,NA,unfavorable,integration,liberalFriend,ambivalent,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
35,NA,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
36,favorable,NA,favorable,NA,NA,NA,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
37,NA,NA,noComments,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,favorable,NA,NA
38,favorable,untilOwnHome,NA,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,NA,favorable,NA,semiSkilled
39,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,good,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
40,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
41,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,good,NA,NA,good,NA,favorable,NA,semiSkilled
42,favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,fair,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
43,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,good,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
44,favorable,NA,NA,NA,NA,NA,poor,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
45,favorable,asLongAsEligible,NA,NA,NA,NA,hardToSay,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
