id,group,evaluationOfHilltown,group,impressionOfFriends,expectations,attitudeOfFriend,attitude,transiency,evaluationOfManagement,evaluationOfPhysicalAmenities,satisfactionInField,satisfactionInWorkplace,education,evaluationOfCoResidents,pastExperience,occupation
1,b,favorable,b,favorable,conflict,ambivalentFriend,ambivalent,asLongAsEligible,NA,favorable,fair,NA,NA,NA,biracial_living_experience,NA
2,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
3,b,favorable,b,favorable,mutual_acomodation,NA,NA,asLongAsEligible,NA,favorable,good,fair,NA,NA,biracial_living_experience,NA
4,b,favorable,b,unfavorable,mutual_acomodation,liberalFriend,ambivalent,asLongAsEligible,NA,favorable,NA,fair,NA,NA,biracial_living_experience,NA
5,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,neverThoughtAboutIt,NA,NA,hard_to_say,NA,NA,NA,biracial_living_experience,NA
6,b,favorable,b,unfavorable,NA,ambivalentFriend,liberal,untilOwnHome,NA,NA,hard_to_say,good,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
7,b,favorable,b,NA,NA,NA,NA,untilBetterPlace,NA,NA,poor,NA,NA,NA,NA,NA
8,b,favorable,b,favorable,NA,NA,NA,neverThoughtAboutIt,NA,favorable,poor,hard_to_say,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
9,b,favorable,b,favorable,NA,NA,NA,untilBetterPlace,NA,favorable,NA,good,grade_school_or_less,favorable,NA,semiskilled
10,b,favorable,b,favorable,mutual_acomodation,liberalFriend,liberal,NA,NA,favorable,poor,NA,high_school_graduate,NA,biracial_living_experience,semiskilled
11,b,favorable,b,NA,NA,NA,NA,neverThoughtAboutIt,NA,favorable,NA,poor,grade_school_or_less,NA,NA,unskilled_domestic_and_personal_service
12,b,favorable,b,favorable,integration,NA,NA,asLongAsEligible,NA,favorable,NA,good,NA,NA,biracial_living_experience,NA
13,b,favorable,b,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA,NA
14,b,favorable,b,unfavorable,conflict,NA,NA,NA,NA,NA,poor,NA,some_high_school,NA,biracial_living_experience,unskilled_domestic_and_personal_service
