id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
2,favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
3,favorable,permanent,favorableAndUnfavorable,integration,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,highSchoolGraduate,unfavorable,NA,unskilledDomesticPersonalService
4,NA,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
5,favorable,neverThoughtAboutIt,noComments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
7,favorable,NA,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
8,NA,asLongAsEligible,favorableAndUnfavorable,NA,ambivalentFriend,liberal,fair,NA,favorable,poor,NA,NA,NA,whiteColorSkilled
9,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,favorable,fair,someHighSchool,NA,NA,semiSkilled
10,favorable,NA,NA,conflict,NA,NA,good,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
11,favorable,NA,favorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
12,NA,NA,NA,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,favorable,NA,NA,NA,favorable,NA
13,favorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
14,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,favorable,favorable,NA
15,favorable,asLongAsEligible,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
