id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,untilOwnHome,unfavorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,fair,NA,NA,NA,whiteColorSkilled
2,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,hardToSay,NA,NA,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
3,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,hardToSay,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
4,favorable,asLongAsEligible,favorable,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,favorable,NA,NA
5,favorable,NA,NA,NA,NA,NA,poor,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
6,unfavorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,favorable,NA,NA
7,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
8,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
9,favorable,untilBetterPlace,favorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
10,favorable,asLongAsEligible,favorable,NA,NA,NA,fair,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
11,favorable,untilOwnHome,favorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,favorable,whiteColorSkilled
12,NA,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
13,unfavorable,untilBetterPlace,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
14,favorable,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,NA,noBiracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
15,favorable,permanent,favorableAndUnfavorable,NA,NA,NA,good,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
16,favorable,NA,favorableAndUnfavorable,integration,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
17,NA,neverThoughtAboutIt,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
18,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
19,favorable,NA,favorable,NA,ambivalentFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
20,favorable,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
21,favorable,asLongAsEligible,NA,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
22,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,poor,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
24,favorable,NA,unfavorable,NA,ambivalentFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
25,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
26,unfavorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,semiSkilled
27,favorable,untilBetterPlace,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,favorable,NA
28,favorable,NA,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
29,favorable,permanent,favorable,NA,NA,NA,good,NA,favorable,fair,highSchoolGraduate,NA,favorable,semiSkilled
30,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
31,NA,asLongAsEligible,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
32,favorable,permanent,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
33,favorable,untilBetterPlace,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,NA,NA
34,favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
35,NA,untilBetterPlace,favorable,NA,ambivalentFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
36,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
37,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,unfavorable,NA
38,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,whiteColorSkilled
39,favorable,NA,favorableAndUnfavorable,NA,ambivalentFriend,liberal,poor,NA,favorable,fair,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
40,favorable,neverThoughtAboutIt,NA,integration,liberalFriend,liberal,poor,biracialLivingExperience,NA,hardToSay,NA,favorable,NA,semiSkilled
41,favorable,untilOwnHome,favorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,favorable,semiSkilled
42,favorable,asLongAsEligible,unfavorable,conflict,liberalFriend,liberal,NA,noBiracialLivingExperience,NA,NA,highSchoolGraduate,NA,favorable,NA
43,unfavorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,favorable,NA
44,favorable,permanent,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
45,NA,permanent,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
46,favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
47,NA,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
48,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
49,favorable,NA,favorable,NA,NA,NA,poor,NA,NA,fair,someHighSchool,NA,NA,unskilledDomesticPersonalService
50,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,favorable,good,highSchoolGraduate,unfavorable,NA,whiteColorSkilled
51,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
52,unfavorable,neverThoughtAboutIt,NA,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
53,favorable,permanent,favorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,good,highSchoolGraduate,NA,NA,whiteColorSkilled
54,favorable,permanent,favorable,mutualAcomodataion,liberalFriend,ambivalent,poor,biracialLivingExperience,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
55,favorable,permanent,NA,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
56,unfavorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,poor,NA,favorable,favorable,unskilledDomesticPersonalService
57,favorable,permanent,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
58,favorable,permanent,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
59,favorable,permanent,NA,NA,liberalFriend,liberal,poor,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
60,favorable,permanent,NA,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
61,favorable,untilOwnHome,NA,NA,liberalFriend,liberal,hardToSay,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
62,favorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
63,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,unfavorable,NA,NA
64,favorable,NA,noComments,integration,NA,NA,poor,biracialLivingExperience,NA,poor,highSchoolGraduate,NA,favorable,unskilledDomesticPersonalService
65,favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,fair,someHighSchool,NA,NA,whiteColorSkilled
66,favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
67,favorable,untilOwnHome,NA,conflict,liberalFriend,liberal,poor,biracialLivingExperience,NA,poor,gradeSchoolOrLess,NA,favorable,unskilledDomesticPersonalService
68,favorable,NA,NA,NA,NA,NA,poor,NA,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
69,favorable,NA,noComments,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
70,NA,NA,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
71,favorable,asLongAsEligible,noComments,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
72,favorable,asLongAsEligible,NA,NA,NA,NA,good,NA,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
73,favorable,untilBetterPlace,NA,NA,NA,NA,poor,NA,unfavorable,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
74,favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,favorable,NA
75,NA,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,good,NA,NA,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
76,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
77,favorable,asLongAsEligible,NA,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
78,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,favorable,poor,gradeSchoolOrLess,favorable,NA,semiSkilled
79,favorable,NA,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
80,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
81,favorable,permanent,NA,NA,liberalFriend,liberal,good,NA,favorable,good,NA,NA,NA,whiteColorSkilled
82,favorable,asLongAsEligible,favorable,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
83,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
84,NA,permanent,NA,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,unskilledDomesticPersonalService
85,favorable,untilBetterPlace,unfavorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,NA,NA,NA
86,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
87,favorable,NA,NA,NA,NA,NA,hardToSay,NA,favorable,hardToSay,NA,NA,favorable,semiSkilled
88,favorable,untilBetterPlace,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
89,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
90,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
91,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,fair,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
92,favorable,NA,favorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
93,favorable,permanent,favorable,NA,liberalFriend,liberal,good,NA,unfavorable,poor,NA,NA,NA,semiSkilled
94,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
95,NA,neverThoughtAboutIt,NA,NA,NA,NA,hardToSay,NA,favorable,poor,NA,favorable,unfavorable,unskilledDomesticPersonalService
96,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,good,NA,favorable,NA,unskilledDomesticPersonalService
97,NA,permanent,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,favorable,hardToSay,gradeSchoolOrLess,NA,NA,semiSkilled
98,favorable,NA,favorable,NA,NA,NA,hardToSay,NA,NA,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
99,unfavorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
