id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,asLongAsEligible,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
2,NA,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
3,NA,neverThoughtAboutIt,favorable,integration,NA,NA,fair,biracialLivingExperience,NA,fair,NA,NA,favorable,unskilledDomesticPersonalService
4,favorable,NA,favorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,favorable,NA
5,favorable,untilOwnHome,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,semiSkilled
6,favorable,asLongAsEligible,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,favorable,fair,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
7,favorable,asLongAsEligible,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,favorable,NA
8,favorable,NA,favorableAndUnfavorable,conflict,NA,NA,good,biracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
9,favorable,NA,unfavorable,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,semiSkilled
10,favorable,NA,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,favorable,NA,NA
11,favorable,NA,favorable,NA,liberalFriend,liberal,poor,NA,favorable,poor,someHighSchool,favorable,NA,unskilledDomesticPersonalService
12,NA,permanent,NA,NA,liberalFriend,liberal,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
13,NA,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
14,NA,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
15,favorable,asLongAsEligible,NA,integration,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
16,favorable,permanent,NA,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
17,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,noBiracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
18,favorable,asLongAsEligible,favorable,NA,NA,NA,fair,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
