id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,neverThoughtAboutIt,NA,integration,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
2,favorable,NA,favorableAndUnfavorable,NA,liberalFriend,liberal,fair,NA,NA,hardToSay,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
3,favorable,NA,favorable,NA,NA,NA,good,NA,NA,good,highSchoolGraduate,NA,NA,semiSkilled
4,favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,poor,NA,NA,fair,NA,NA,NA,whiteColorSkilled
5,favorable,asLongAsEligible,favorable,NA,ambivalentFriend,ambivalent,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
6,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
7,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,ambivalentFriend,liberal,poor,noBiracialLivingExperience,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
8,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
9,favorable,untilBetterPlace,unfavorable,mutualAcomodataion,ambivalentFriend,ambivalent,good,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
10,favorable,NA,noComments,conflict,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
11,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
12,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
13,favorable,asLongAsEligible,noComments,NA,liberalFriend,liberal,NA,NA,favorable,NA,NA,NA,NA,NA
14,NA,neverThoughtAboutIt,NA,mutualAcomodataion,liberalFriend,liberal,hardToSay,biracialLivingExperience,favorable,hardToSay,highSchoolGraduate,favorable,NA,unskilledDomesticPersonalService
15,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,hardToSay,biracialLivingExperience,favorable,good,NA,favorable,NA,unskilledDomesticPersonalService
16,favorable,neverThoughtAboutIt,favorable,mutualAcomodataion,ambivalentFriend,ambivalent,good,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
17,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
18,favorable,untilBetterPlace,favorable,conflict,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
19,favorable,untilOwnHome,NA,NA,NA,NA,poor,NA,NA,poor,NA,NA,NA,semiSkilled
20,favorable,asLongAsEligible,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
