id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,untilOwnHome,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
2,favorable,untilBetterPlace,unfavorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,NA,NA,NA,semiSkilled
3,NA,permanent,favorable,NA,NA,NA,poor,NA,favorable,poor,NA,NA,NA,unskilledDomesticPersonalService
4,favorable,asLongAsEligible,favorable,conflict,ambivalentFriend,ambivalent,hardToSay,biracialLivingExperience,NA,poor,someHighSchool,favorable,NA,whiteColorSkilled
5,favorable,NA,unfavorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,favorable,NA,NA
6,favorable,asLongAsEligible,favorable,conflict,liberalFriend,liberal,fair,biracialLivingExperience,NA,fair,someHighSchool,NA,NA,whiteColorSkilled
7,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
8,unfavorable,permanent,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
9,NA,untilOwnHome,favorableAndUnfavorable,NA,NA,NA,poor,NA,favorable,good,NA,favorable,NA,semiSkilled
10,favorable,untilBetterPlace,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,ambivalent,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
11,favorable,asLongAsEligible,noComments,NA,liberalFriend,liberal,good,NA,favorable,good,someHighSchool,favorable,NA,semiSkilled
12,favorable,asLongAsEligible,favorable,NA,NA,NA,fair,NA,NA,good,NA,NA,favorable,semiSkilled
13,favorable,permanent,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,favorable,unfavorable,NA
14,unfavorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
15,NA,neverThoughtAboutIt,noComments,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
16,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,favorable,hardToSay,highSchoolGraduate,NA,NA,semiSkilled
