id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,favorable,NA,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
2,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
3,favorable,NA,favorable,mutualAcomodataion,NA,NA,poor,noBiracialLivingExperience,favorable,hardToSay,gradeSchoolOrLess,favorable,favorable,unskilledDomesticPersonalService
4,favorable,NA,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,NA,NA,NA,NA
5,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,ambivalent,fair,NA,NA,poor,someHighSchool,NA,NA,whiteColorSkilled
6,NA,NA,NA,mutualAcomodataion,ambivalentFriend,liberal,good,biracialLivingExperience,favorable,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
7,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,ambivalent,poor,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
8,unfavorable,NA,favorable,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
9,favorable,NA,favorable,NA,NA,NA,fair,NA,NA,good,gradeSchoolOrLess,NA,NA,semiSkilled
10,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
11,favorable,untilBetterPlace,favorable,NA,NA,NA,hardToSay,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
12,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,mutualAcomodataion,NA,NA,poor,biracialLivingExperience,NA,poor,someHighSchool,NA,NA,semiSkilled
14,NA,untilBetterPlace,NA,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,hardToSay,NA,NA,favorable,whiteColorSkilled
15,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
16,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
17,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
18,favorable,untilOwnHome,unfavorable,NA,ambivalentFriend,liberal,good,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
19,favorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,favorable,favorable,NA
20,favorable,asLongAsEligible,NA,NA,liberalFriend,ambivalent,hardToSay,NA,favorable,poor,gradeSchoolOrLess,NA,NA,semiSkilled
21,favorable,permanent,unfavorable,NA,NA,NA,poor,NA,NA,hardToSay,NA,favorable,NA,unskilledDomesticPersonalService
22,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
23,favorable,asLongAsEligible,NA,conflict,liberalFriend,liberal,good,noBiracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
24,NA,NA,NA,NA,liberalFriend,liberal,fair,NA,favorable,good,someHighSchool,NA,NA,unskilledDomesticPersonalService
25,favorable,NA,favorableAndUnfavorable,NA,NA,NA,poor,NA,NA,hardToSay,someHighSchool,NA,NA,unskilledDomesticPersonalService
26,favorable,asLongAsEligible,noComments,NA,ambivalentFriend,liberal,poor,NA,NA,hardToSay,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
27,unfavorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
28,favorable,asLongAsEligible,unfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,favorable,good,gradeSchoolOrLess,NA,NA,whiteColorSkilled
29,unfavorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,favorable,good,NA,NA,NA,whiteColorSkilled
30,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,NA,good,NA,NA,NA,unskilledDomesticPersonalService
31,favorable,untilBetterPlace,favorable,conflict,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,favorable,NA,NA
32,NA,untilBetterPlace,NA,NA,liberalFriend,liberal,fair,NA,NA,fair,NA,NA,NA,unskilledDomesticPersonalService
33,favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
34,unfavorable,asLongAsEligible,noComments,NA,NA,NA,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
35,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,hardToSay,NA,NA,poor,NA,NA,NA,semiSkilled
36,favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
37,NA,neverThoughtAboutIt,favorable,NA,liberalFriend,ambivalent,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
38,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
39,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,NA,whiteColorSkilled
40,favorable,asLongAsEligible,favorableAndUnfavorable,conflict,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,highSchoolGraduate,NA,NA,NA
41,favorable,NA,unfavorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
42,favorable,asLongAsEligible,NA,NA,NA,NA,poor,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
43,favorable,NA,NA,NA,ambivalentFriend,liberal,poor,NA,favorable,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
44,favorable,neverThoughtAboutIt,noComments,NA,NA,NA,NA,NA,NA,NA,gradeSchoolOrLess,favorable,favorable,NA
45,favorable,untilOwnHome,favorableAndUnfavorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,highSchoolGraduate,NA,NA,NA
46,unfavorable,permanent,favorable,NA,liberalFriend,liberal,NA,NA,NA,NA,gradeSchoolOrLess,unfavorable,NA,NA
47,favorable,untilOwnHome,NA,mutualAcomodataion,liberalFriend,liberal,fair,biracialLivingExperience,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
48,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
49,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,poor,NA,favorable,good,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
50,favorable,asLongAsEligible,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
51,favorable,asLongAsEligible,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,someHighSchool,NA,NA,NA
52,NA,asLongAsEligible,favorable,integration,ambivalentFriend,liberal,hardToSay,biracialLivingExperience,NA,good,someHighSchool,favorable,NA,whiteColorSkilled
53,favorable,neverThoughtAboutIt,favorable,NA,NA,NA,NA,NA,NA,NA,NA,unfavorable,NA,NA
54,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,good,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
55,favorable,NA,favorable,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
56,favorable,NA,favorable,conflict,liberalFriend,liberal,hardToSay,noBiracialLivingExperience,favorable,poor,highSchoolGraduate,NA,NA,unskilledDomesticPersonalService
57,favorable,asLongAsEligible,favorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,favorableAndUnfavorable,NA,NA,NA,NA,NA,favorable,NA,someHighSchool,favorable,NA,NA
59,favorable,permanent,favorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
60,favorable,neverThoughtAboutIt,favorable,integration,NA,NA,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
61,favorable,untilBetterPlace,NA,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
62,favorable,NA,NA,NA,NA,NA,good,NA,favorable,good,NA,NA,NA,unskilledDomesticPersonalService
63,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,poor,NA,NA,poor,gradeSchoolOrLess,NA,NA,unskilledDomesticPersonalService
64,favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,NA,NA,someHighSchool,NA,NA,NA
65,favorable,neverThoughtAboutIt,NA,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,favorable,NA
66,favorable,untilOwnHome,favorableAndUnfavorable,NA,NA,NA,fair,NA,favorable,fair,NA,NA,NA,unskilledDomesticPersonalService
67,NA,NA,NA,conflict,NA,NA,good,biracialLivingExperience,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
68,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,NA,NA,good,biracialLivingExperience,NA,hardToSay,NA,NA,NA,semiSkilled
69,favorable,untilBetterPlace,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,NA,NA,NA,NA,NA,NA
70,favorable,untilOwnHome,favorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,gradeSchoolOrLess,NA,NA,NA
71,favorable,NA,unfavorable,NA,ambivalentFriend,liberal,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
72,NA,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,NA,NA,gradeSchoolOrLess,NA,NA,NA
73,favorable,asLongAsEligible,favorable,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,good,someHighSchool,NA,NA,whiteColorSkilled
74,favorable,untilBetterPlace,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
75,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,hardToSay,NA,favorable,good,gradeSchoolOrLess,favorable,NA,unskilledDomesticPersonalService
76,favorable,untilOwnHome,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,hardToSay,NA,NA,NA,semiSkilled
77,favorable,neverThoughtAboutIt,unfavorable,NA,NA,NA,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
78,NA,asLongAsEligible,NA,conflict,liberalFriend,liberal,good,noBiracialLivingExperience,NA,poor,NA,favorable,NA,semiSkilled
79,favorable,untilOwnHome,NA,mutualAcomodataion,liberalFriend,liberal,poor,biracialLivingExperience,favorable,poor,NA,NA,unfavorable,unskilledDomesticPersonalService
80,favorable,NA,favorable,conflict,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
81,favorable,NA,NA,mutualAcomodataion,liberalFriend,liberal,NA,biracialLivingExperience,unfavorable,NA,NA,NA,NA,NA
82,favorable,asLongAsEligible,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,someHighSchool,NA,NA,NA
83,favorable,permanent,favorable,NA,NA,NA,poor,NA,favorable,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
84,favorable,NA,favorableAndUnfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
85,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
86,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
87,favorable,asLongAsEligible,favorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
