id,evaluationOfHilltown,transiency,impressionOfFriends,expectations,attitudeOfFriend,attitude,satisfactionInWorkplace,pastExperience,evaluationOfPhysicalAmenities,satisfactionInField,education,evaluationOfCoResidents,evaluationOfManagement,occupation
1,NA,untilOwnHome,favorable,NA,liberalFriend,liberal,poor,NA,favorable,good,highSchoolGraduate,NA,NA,semiSkilled
2,favorable,neverThoughtAboutIt,favorableAndUnfavorable,mutualAcomodataion,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,NA,NA,NA,NA
3,favorable,permanent,favorable,mutualAcomodataion,NA,NA,fair,biracialLivingExperience,NA,good,NA,NA,NA,unskilledDomesticPersonalService
4,favorable,asLongAsEligible,NA,NA,liberalFriend,liberal,good,NA,NA,fair,NA,NA,NA,whiteColorSkilled
5,favorable,neverThoughtAboutIt,unfavorable,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,favorable,NA,NA,favorable,NA,NA
6,favorable,asLongAsEligible,favorable,NA,NA,NA,poor,NA,NA,poor,NA,favorable,NA,unskilledDomesticPersonalService
7,favorable,NA,favorable,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
8,favorable,asLongAsEligible,favorable,conflict,ambivalentFriend,liberal,NA,biracialLivingExperience,favorable,NA,someHighSchool,NA,NA,NA
9,favorable,asLongAsEligible,unfavorable,NA,NA,NA,NA,NA,favorable,NA,highSchoolGraduate,NA,NA,NA
10,favorable,untilBetterPlace,favorableAndUnfavorable,NA,NA,NA,NA,NA,NA,NA,highSchoolGraduate,NA,NA,NA
11,NA,untilBetterPlace,NA,NA,NA,NA,good,NA,favorable,poor,NA,favorable,NA,semiSkilled
12,NA,NA,NA,mutualAcomodataion,NA,NA,poor,noBiracialLivingExperience,NA,poor,someHighSchool,NA,NA,unskilledDomesticPersonalService
13,favorable,neverThoughtAboutIt,favorableAndUnfavorable,NA,ambivalentFriend,liberal,NA,NA,NA,NA,someHighSchool,NA,NA,NA
14,favorable,neverThoughtAboutIt,favorable,NA,liberalFriend,liberal,NA,NA,favorable,NA,gradeSchoolOrLess,NA,NA,NA
15,favorable,NA,unfavorable,conflict,NA,NA,poor,biracialLivingExperience,favorable,good,gradeSchoolOrLess,favorable,NA,semiSkilled
16,favorable,asLongAsEligible,favorableAndUnfavorable,NA,liberalFriend,liberal,poor,NA,NA,hardToSay,NA,NA,NA,unskilledDomesticPersonalService
17,favorable,NA,NA,NA,NA,NA,NA,NA,favorable,NA,NA,NA,NA,NA
18,favorable,untilBetterPlace,NA,mutualAcomodataion,NA,NA,NA,biracialLivingExperience,unfavorable,NA,gradeSchoolOrLess,NA,NA,NA
